x,y,__Title__
431.0649433757218,210.0212790474202,Point #0
330.5480005421007,287.09809863437664,Point #1
402.5803480147652,137.726709327064,Point #2
234.16322515879108,259.80856780287064,Point #3
369.22661838800417,105.37423334493924,Point #4
278.9465571354155,225.73345645190568,Point #5
349.95423534376545,154.0323849374346,Point #6
332.7474944020464,159.81970219812254,Point #7
470.3478467479511,262.6383807353291,Point #8
315.1424603756107,210.4456554119052,Point #9
299.8807445437625,183.08780610623333,Point #10
316.55572822085264,184.8932672901398,Point #11
387.67728160784753,156.50018899193117,Point #12
335.7633928607736,174.3275068239171,Point #13
414.6690406119499,264.15235033110866,Point #14
280.8330071712088,224.0045743064776,Point #15
320.379290483077,196.11290428276016,Point #16
386.3688494944775,287.8123071522932,Point #17
333.8501560849775,191.6389505894768,Point #18
440.57858955142086,213.322216084078,Point #19
307.9125442068175,209.0607881299116,Point #20
288.5370723259191,215.23845099896693,Point #21
413.0322240356894,290.57474337005635,Point #22
318.0134420425882,192.7451256653337,Point #23
316.2249591750835,143.03081298770402,Point #24
337.22640404212336,190.50216238003912,Point #25
432.9819636020375,274.9651377382716,Point #26
429.2160083491207,292.0854876396296,Point #27
371.7654976217692,292.5405868040629,Point #28
317.8125506741859,283.76019138709574,Point #29
316.7376104101492,167.18193774832292,Point #30
455.70891718503856,219.09141876567108,Point #31
424.1741685028089,184.021251007086,Point #32
332.18801444092725,185.48986311281217,Point #33
343.5832214327972,288.1807607462925,Point #34
332.2264462060599,186.2174748754761,Point #35
269.6307116829454,243.6641969993929,Point #36
317.1077740927081,178.50857909468365,Point #37
318.2533087892832,262.31943814601306,Point #38
436.7014027324044,288.8804396853774,Point #39
413.8758706103495,174.946166537838,Point #40
240.9550123578969,255.2923131189149,Point #41
424.8154547870628,205.68544417458472,Point #42
312.0297056360415,190.8749190661005,Point #43
315.1182915368243,202.3783375974144,Point #44
257.3384912494799,248.36173353743607,Point #45
404.7330017746403,278.7216331755815,Point #46
324.036148176244,256.7310185255113,Point #47
355.82424859601883,140.33021790343722,Point #48
418.3088449324349,281.70150852189136,Point #49
308.81597341431313,190.0720986913589,Point #50
324.9070311221022,161.8161328769119,Point #51
398.03762043209537,281.1896529390264,Point #52
312.9878030882216,166.5497451226347,Point #53
427.7729997073181,272.28940464230203,Point #54
327.85688707118885,143.7633180491468,Point #55
451.9349196138184,229.0636923594872,Point #56
405.0188576994957,170.24438129766375,Point #57
383.2892685432018,279.2893102381456,Point #58
445.9266809984141,282.7884871679468,Point #59
335.32451085044465,176.2485880938259,Point #60
386.04056391532094,154.66380961846176,Point #61
306.65957704721575,217.2664458773632,Point #62
463.8837405158782,238.4271255415899,Point #63
425.2743796079691,290.60556790518064,Point #64
358.2833353408549,157.66107447977777,Point #65
446.6494556678576,239.9179510418492,Point #66
345.5828247005424,147.79585122993146,Point #67
396.861320842937,145.15871543457868,Point #68
415.11000452746737,272.5145375992508,Point #69
286.9293000440507,206.91719298476093,Point #70
453.45389412470166,238.4616714992058,Point #71
255.3820199248071,223.49043090912588,Point #72
299.4176600171493,205.41239652786592,Point #73
333.7634915134352,296.1542078782245,Point #74
287.76327759724586,206.8181703920773,Point #75
325.74821561568075,189.7015738895735,Point #76
309.5097205015434,219.54304340718812,Point #77
295.0241162672258,231.56815037147288,Point #78
389.79763102715225,147.37528483802575,Point #79
390.3249846203757,280.5051520349279,Point #80
307.03451964332817,197.67738873241208,Point #81
424.931576961315,193.90603198303515,Point #82
304.8847297140795,204.2176731415373,Point #83
390.2922624713729,290.7020818980505,Point #84
385.5261116686956,280.67203503833395,Point #85
308.2627301863504,216.29127181772404,Point #86
330.83402280969483,160.0259558297924,Point #87
252.1030452541212,254.668382734544,Point #88
289.3868723420318,240.7185036792557,Point #89
416.1865312312189,275.9434379293533,Point #90
426.6522516860886,184.15998939251045,Point #91
265.49487688548726,246.29431454114405,Point #92
244.3759909548252,261.2668927486511,Point #93
405.1360547242236,157.2348561007974,Point #94
400.241784822652,164.64561814579525,Point #95
334.4559724934719,291.3337826429123,Point #96
353.48141231334256,116.5787917293779,Point #97
446.5411330512748,212.32783912762287,Point #98
339.1107305605866,155.17215622910106,Point #99
327.7266133996477,202.70026595429565,Point #100
287.00721772272107,226.1811799739808,Point #101
290.97547264238347,210.8969015397052,Point #102
440.5834850616454,278.68865964621824,Point #103
442.0827538933405,278.7457376172393,Point #104
377.76533139618095,272.2132746651778,Point #105
466.02762272531135,248.1049848019164,Point #106
268.9740571713059,227.20323882430696,Point #107
314.3712275408801,214.67627833292275,Point #108
392.5834287824463,284.4512567047903,Point #109
409.1775193663602,174.53868793676932,Point #110
478.5339245004568,272.05866037810256,Point #111
443.8303584287844,208.9863326328264,Point #112
416.4371893867215,286.13994240030024,Point #113
415.0482715800701,290.07802418924354,Point #114
306.7375694842024,268.17403157880057,Point #115
344.2059512148151,159.96111368158037,Point #116
302.7118713047249,219.4205470009107,Point #117
390.1916888404066,290.0555985260451,Point #118
280.62222177170673,219.94954469739432,Point #119
424.19066459921146,196.8743796487896,Point #120
302.07289773620874,188.42617599901743,Point #121
396.3002393183687,138.3280647381435,Point #122
342.37253257050924,154.0636094051469,Point #123
429.6197184462818,183.85034669486168,Point #124
386.0728321043196,276.1221905007695,Point #125
